New_date,Closing,RET,MA200,MA50
7/20/2021,27259.25,-0.008421386,27752.02335,28472.5574
7/21/2021,27224.58,-0.001272671,27771.96915,28444.836
7/22/2021,27723.84,0.018172451,27793.2081,28427.3996
7/23/2021,27321.98,-0.014601186,27813.44035,28413.563
7/26/2021,26192.32,-0.042225268,27827.1067,28372.7886
7/27/2021,25086.43,-0.043139176,27833.69995,28320.1438
7/28/2021,25473.88,0.015326551,27841.1661,28269.07
7/29/2021,26315.32,0.032497666,27851.5284,28231.4946
7/30/2021,25961.03,-0.013554712,27860.3668,28178.839
8/2/2021,26235.8,0.010528323,27870.95015,28134.5492
8/3/2021,26194.82,-0.001563209,27878.67585,28089.2768
8/4/2021,26426.55,0.008807505,27887.8211,28049.5626
8/5/2021,26204.69,-0.008430784,27895.5091,27995.4392
8/6/2021,26179.4,-0.00096556,27905.6134,27935.707
8/9/2021,26283.4,0.003964719,27915.09645,27879.111
8/10/2021,26605.62,0.01218491,27925.41325,27828.7352
8/11/2021,26660.16,0.002047845,27935.86635,27778.9024
8/12/2021,26517.82,-0.005353356,27944.68335,27719.8988
8/13/2021,26391.62,-0.004770424,27952.7108,27661.7788
8/16/2021,26181.46,-0.007995009,27959.0242,27606.0874
8/17/2021,25745.87,-0.016777301,27963.8176,27542.6428
8/18/2021,25867.01,0.004694186,27969.60865,27484.2374
8/19/2021,25316.33,-0.02151877,27973.2573,27414.9364
8/20/2021,24849.72,-0.018603157,27976.9688,27337.0782
8/23/2021,25109.59,0.01040336,27980.2167,27264.4924
8/24/2021,25727.92,0.024326939,27984.15765,27202.2082
8/25/2021,25693.95,-0.001321228,27988.1967,27143.3166
8/26/2021,25415.69,-0.010888856,27986.79555,27082.8936
8/27/2021,25407.89,-0.000306944,27985.27015,27019.8796
8/30/2021,25539.54,0.005168084,27982.887,26954.645
8/31/2021,25878.99,0.013203603,27980.77455,26902.4448
9/1/2021,26028.29,0.005752581,27979.7811,26856.8154
9/2/2021,26090.43,0.002384557,27979.38635,26802.2826
9/3/2021,25901.99,-0.007248781,27978.112,26742.6732
9/6/2021,26163.63,0.010050479,27977.0218,26680.1814
9/7/2021,26353.63,0.007235748,27976.7145,26621.888
9/8/2021,26320.93,-0.001241586,27975.5977,26568.4246
9/9/2021,25716,-0.023251074,27972.39285,26506.1856
9/10/2021,26205.91,0.018871592,27971.1647,26464.0954
9/13/2021,25813.81,-0.015075338,27967.80275,26417.5016
9/14/2021,25502.23,-0.012143721,27962.3729,26366.089
9/15/2021,25033.21,-0.018562556,27954.1902,26307.5408
9/16/2021,24667.85,-0.014702567,27943.4322,26257.8352
9/17/2021,24920.76,0.010200415,27933.5626,26209.3596
9/20/2021,24099.14,-0.033525036,27922.35085,26141.0376
9/21/2021,24221.54,0.005066165,27910.62015,26066.2002
9/23/2021,24510.98,0.011878861,27900.51215,26000.6706
9/24/2021,24192.16,-0.013092567,27887.83045,25924.5884
9/27/2021,24208.78,0.000686764,27874.69475,25848.6704
9/28/2021,24500.39,0.011973659,27864.66245,25788.8826
9/29/2021,24663.5,0.006635382,27856.45715,25736.9676
9/30/2021,24575.64,-0.003568709,27846.82115,25683.9888
10/4/2021,24036.37,-0.022187608,27834.95005,25610.2394
10/5/2021,24104.15,0.002815925,27822.94145,25545.8828
10/6/2021,23966.49,-0.00572742,27810.8263,25501.3662
10/7/2021,24701.73,0.030216677,27803.2985,25493.6722
10/8/2021,24837.85,0.005495418,27795.1863,25480.9516
10/11/2021,25325.09,0.019426905,27788.41985,25461.147
10/12/2021,24962.59,-0.0144173,27780.7398,25441.1782
10/13/2021,25020.34,0.00231079,27774.3081,25416.869
10/15/2021,25330.96,0.012338269,27770.36665,25399.5918
10/18/2021,25409.75,0.003105596,27765.6999,25379.2558
10/19/2021,25787.21,0.014745674,27762.70315,25370.9062
10/20/2021,26136.02,0.013435807,27761.8101,25370.0386
10/21/2021,26017.53,-0.004543898,27759.0553,25364.7212
10/22/2021,26126.93,0.004196042,27753.9544,25355.1474
10/25/2021,26132.03,0.000195182,27748.4589,25344.5848
10/26/2021,26038.27,-0.003594386,27741.2862,25334.9938
10/27/2021,25628.74,-0.015853001,27731.1806,25319.7362
10/28/2021,25555.73,-0.00285282,27720.49775,25307.2216
10/29/2021,25377.24,-0.007008848,27709.64135,25299.849
11/1/2021,25154.32,-0.008823058,27696.02185,25285.5952
11/2/2021,25099.67,-0.002174953,27681.9791,25281.262
11/3/2021,25024.75,-0.002989363,27665.7191,25284.7626
11/4/2021,25225.19,0.007977763,27650.66705,25287.0746
11/5/2021,24870.51,-0.014160334,27632.5353,25269.9264
11/8/2021,24763.77,-0.004301066,27613.48485,25251.3228
11/9/2021,24813.13,0.001991251,27593.23665,25239.2716
11/10/2021,24996.14,0.007348464,27570.00595,25231.0366
11/11/2021,25247.99,0.010025136,27546.43355,25225.2056
11/12/2021,25327.97,0.00316277,27523.4346,25214.1852
11/15/2021,25390.91,0.002481917,27503.1499,25201.4376
11/16/2021,25713.78,0.012635799,27480.92375,25193.9046
11/17/2021,25650.08,-0.002480344,27462.21785,25188.8664
11/18/2021,25319.72,-0.012963152,27442.3288,25171.9882
11/19/2021,25049.97,-0.010710909,27424.8248,25145.915
11/22/2021,24951.34,-0.003945102,27408.16295,25118.5232
11/23/2021,24651.58,-0.012086532,27386.95655,25097.2348
11/24/2021,24685.5,0.001375031,27364.14055,25066.8266
11/25/2021,24740.16,0.002211807,27341.30405,25045.3536
11/26/2021,24080.52,-0.027024619,27316.13915,25016.9194
11/29/2021,23852.24,-0.009525082,27288.95695,24993.3
11/30/2021,23475.26,-0.015931033,27259.7359,24969.4482
12/1/2021,23658.92,0.00779311,27230.64955,24944.2114
12/2/2021,23788.93,0.005480136,27199.4006,24938.0072
12/3/2021,23766.69,-0.000935326,27167.3662,24928.9102
